"2","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"1134","host","3.3.1","ESC ENQ"
"1136","3.3.2","host","'0' ETX"
"1138","host","3.3.1","ESC ENQ"
"1140","3.3.2","host","'0' ETX"
"1142","host","3.3.1","ESC ENQ"
"1144","3.3.2","host","'0' ETX"
"1146","host","3.3.1","ESC ENQ"
"1148","3.3.2","host","'0' ETX"
"1150","host","3.3.1","ESC ENQ"
"1152","3.3.2","host","'0' ETX"
"1154","host","3.3.1","ESC ENQ"
"1156","3.3.2","host","'0' ETX"
"1158","host","3.3.1","ESC ENQ"
"1160","3.3.2","host","'0' ETX"
"1162","host","3.3.1","ESC ENQ"
"1164","3.3.2","host","'0' ETX"
